Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas5080          Pavarde5080         8         7         1         2         9         10        7         4         6         8         4         9         2         3         5         1         
Vardas5081          Pavarde5081         7         2         5         2         8         3         4         2         9         2         5         6         7         5         2         5         
Vardas5082          Pavarde5082         8         5         2         1         3         6         4         9         3         10        8         5         7         2         9         5         
Vardas5083          Pavarde5083         9         7         1         8         6         9         10        10        2         4         1         10        7         3         3         3         
Vardas5084          Pavarde5084         2         5         5         10        2         9         1         6         3         1         9         10        3         2         1         2         
Vardas5085          Pavarde5085         1         9         1         7         5         10        9         6         7         1         5         4         10        10        5         5         
Vardas5086          Pavarde5086         2         2         2         3         9         5         3         8         9         2         10        3         9         2         1         10        
Vardas5087          Pavarde5087         2         9         3         2         7         6         5         5         8         5         6         7         8         2         10        10        
Vardas5088          Pavarde5088         10        9         3         3         1         3         6         2         8         1         5         6         6         6         2         8         
Vardas5089          Pavarde5089         1         1         4         2         3         10        10        3         9         1         4         3         8         9         1         3         
Vardas5090          Pavarde5090         8         2         9         8         9         1         8         3         4         1         9         2         4         9         6         5         
Vardas5091          Pavarde5091         7         4         10        10        5         6         2         6         4         2         10        4         9         5         9         2         
Vardas5092          Pavarde5092         2         10        1         8         4         8         10        5         2         8         5         6         10        2         10        3         
Vardas5093          Pavarde5093         8         6         1         8         4         1         10        1         9         9         6         1         3         2         6         9         
Vardas5094          Pavarde5094         3         7         8         7         1         3         7         3         8         10        7         10        7         9         4         3         
Vardas5095          Pavarde5095         7         1         5         8         3         5         3         3         8         6         8         2         4         5         3         9         
Vardas5096          Pavarde5096         10        8         8         5         1         10        3         8         6         2         9         2         1         3         7         6         
Vardas5097          Pavarde5097         5         4         7         3         4         8         6         4         7         7         1         6         5         7         2         1         
Vardas5098          Pavarde5098         3         6         6         3         7         8         9         5         8         2         8         3         2         9         2         10        
Vardas5099          Pavarde5099         7         9         1         7         2         5         7         1         4         3         9         3         2         8         8         10        
Vardas5100          Pavarde5100         7         7         7         4         9         2         6         10        10        8         4         6         8         6         9         6         
Vardas5101          Pavarde5101         10        10        2         9         3         9         4         3         10        8         5         4         3         1         9         7         
Vardas5102          Pavarde5102         5         8         9         9         1         5         6         8         10        7         5         4         5         6         10        9         
Vardas5103          Pavarde5103         1         1         9         9         7         5         4         10        7         5         6         7         7         4         7         6         
Vardas5104          Pavarde5104         7         10        6         4         7         2         4         4         6         3         8         9         6         9         7         4         
Vardas5105          Pavarde5105         2         3         5         9         10        8         9         3         8         3         6         2         8         2         2         6         
Vardas5106          Pavarde5106         9         3         6         8         8         2         1         10        4         3         2         8         4         10        7         2         
Vardas5107          Pavarde5107         3         7         5         8         9         8         10        10        8         4         8         6         7         8         2         2         
Vardas5108          Pavarde5108         2         2         5         7         3         4         10        2         10        6         6         10        1         8         9         5         
Vardas5109          Pavarde5109         9         5         1         1         9         2         8         4         1         1         1         1         5         1         8         1         
Vardas5110          Pavarde5110         1         4         3         5         9         3         2         9         9         3         7         7         10        2         5         4         
Vardas5111          Pavarde5111         7         4         10        10        3         1         8         4         6         1         9         6         4         5         8         10        
Vardas5112          Pavarde5112         2         7         1         3         6         9         8         2         1         1         8         4         6         8         7         8         
Vardas5113          Pavarde5113         9         10        6         9         3         1         3         8         6         4         1         1         7         2         8         6         
Vardas5114          Pavarde5114         9         5         10        2         5         4         1         7         3         4         5         2         8         2         1         9         
Vardas5115          Pavarde5115         1         7         3         7         2         3         6         7         4         3         2         4         3         6         9         1         
Vardas5116          Pavarde5116         4         5         3         4         4         3         4         10        1         1         2         4         3         4         9         5         
Vardas5117          Pavarde5117         5         10        8         10        9         1         4         10        2         6         7         1         10        8         8         6         
Vardas5118          Pavarde5118         9         4         4         10        6         1         7         10        9         9         2         7         4         2         7         4         
Vardas5119          Pavarde5119         6         10        6         6         3         8         5         8         6         5         7         8         7         9         3         10        
Vardas5120          Pavarde5120         6         3         10        6         9         9         1         4         6         4         3         3         2         9         2         6         
Vardas5121          Pavarde5121         5         10        3         7         6         6         3         6         10        4         10        7         6         1         9         2         
Vardas5122          Pavarde5122         5         2         2         6         3         5         2         5         1         10        10        6         9         1         2         8         
Vardas5123          Pavarde5123         3         4         8         5         5         3         6         5         10        6         2         8         9         1         9         8         
Vardas5124          Pavarde5124         2         1         1         9         4         10        6         3         9         3         7         7         4         9         4         5         
Vardas5125          Pavarde5125         9         9         9         6         9         3         6         7         8         7         4         7         4         7         9         5         
Vardas5126          Pavarde5126         8         10        4         4         10        1         1         1         9         10        1         9         3         6         4         6         
Vardas5127          Pavarde5127         3         2         9         9         10        1         10        1         10        9         8         6         5         8         8         8         
Vardas5128          Pavarde5128         7         3         6         10        10        10        7         10        3         8         10        10        8         2         3         9         
Vardas5129          Pavarde5129         4         4         9         3         1         3         9         8         4         5         3         1         4         6         1         2         
Vardas5130          Pavarde5130         7         6         6         4         8         4         8         8         1         4         7         2         8         3         2         5         
Vardas5131          Pavarde5131         1         4         9         6         1         7         3         6         4         7         6         1         2         7         3         2         
Vardas5132          Pavarde5132         3         10        2         5         8         5         5         8         5         4         10        9         8         3         2         1         
Vardas5133          Pavarde5133         5         10        7         8         1         10        2         4         6         7         8         8         5         9         7         3         
Vardas5134          Pavarde5134         3         2         1         2         1         5         10        4         6         7         8         5         5         10        8         6         
Vardas5135          Pavarde5135         10        8         9         4         4         2         7         3         1         3         4         3         3         4         1         7         
Vardas5136          Pavarde5136         6         2         6         10        10        8         8         5         7         7         4         3         4         6         1         7         
Vardas5137          Pavarde5137         8         1         10        8         8         9         9         7         10        4         2         10        6         2         2         8         
Vardas5138          Pavarde5138         10        7         10        9         10        10        8         2         9         3         4         9         9         1         4         9         
Vardas5139          Pavarde5139         4         5         2         1         10        10        9         1         6         1         3         9         3         6         6         2         
Vardas5140          Pavarde5140         9         1         3         9         3         5         10        6         3         2         9         4         10        5         7         10        
Vardas5141          Pavarde5141         7         7         7         2         8         1         2         3         5         4         3         6         7         2         6         7         
Vardas5142          Pavarde5142         4         8         1         1         7         1         2         7         1         3         8         6         10        8         3         10        
Vardas5143          Pavarde5143         5         1         7         4         1         9         6         4         7         4         3         4         7         1         1         8         
Vardas5144          Pavarde5144         3         8         2         3         5         1         1         9         6         1         1         4         4         8         8         1         
Vardas5145          Pavarde5145         1         9         9         4         2         5         10        7         9         4         8         5         9         1         4         8         
Vardas5146          Pavarde5146         1         9         3         10        1         2         5         7         6         2         7         10        9         3         6         3         
Vardas5147          Pavarde5147         3         3         5         7         3         10        3         2         1         2         4         9         3         3         1         2         
Vardas5148          Pavarde5148         9         9         2         9         4         3         8         10        7         8         3         10        6         6         7         2         
Vardas5149          Pavarde5149         1         7         2         3         8         3         8         6         4         7         7         3         8         3         2         4         
Vardas5150          Pavarde5150         8         5         8         4         5         6         9         10        3         8         9         2         2         6         1         9         
Vardas5151          Pavarde5151         2         9         1         10        5         1         1         5         1         5         6         10        3         4         4         2         
Vardas5152          Pavarde5152         7         10        3         4         4         8         2         4         8         4         10        9         6         4         3         7         
Vardas5153          Pavarde5153         5         7         1         3         10        3         2         8         2         9         6         4         1         4         9         9         
Vardas5154          Pavarde5154         10        7         4         9         3         2         6         7         7         6         1         2         3         1         10        3         
Vardas5155          Pavarde5155         5         9         1         6         4         8         3         6         7         8         7         10        1         4         1         8         
Vardas5156          Pavarde5156         8         2         2         2         5         9         5         1         5         9         6         7         8         10        1         7         
Vardas5157          Pavarde5157         2         6         9         2         9         6         2         4         4         5         8         4         1         8         10        8         
Vardas5158          Pavarde5158         2         1         6         9         2         1         9         6         9         4         2         3         5         3         6         4         
Vardas5159          Pavarde5159         6         2         2         9         7         4         7         8         5         3         10        2         5         8         6         3         
Vardas5160          Pavarde5160         1         3         7         2         5         10        9         4         10        8         1         3         1         10        9         4         
Vardas5161          Pavarde5161         3         5         1         2         5         3         7         7         9         9         7         8         2         3         7         1         
Vardas5162          Pavarde5162         9         3         10        2         10        4         9         10        9         1         3         5         9         4         4         3         
Vardas5163          Pavarde5163         5         2         6         10        10        6         3         8         1         4         4         8         1         10        1         5         
Vardas5164          Pavarde5164         7         3         3         1         4         4         9         8         3         5         2         5         5         3         10        8         
Vardas5165          Pavarde5165         7         1         9         8         3         10        3         8         3         3         2         8         6         6         8         5         
Vardas5166          Pavarde5166         8         1         9         7         7         9         6         4         8         1         4         4         2         2         8         1         
Vardas5167          Pavarde5167         10        7         9         7         4         4         8         1         2         4         8         7         4         5         2         8         
Vardas5168          Pavarde5168         4         3         2         8         7         6         3         10        1         2         1         7         10        9         4         3         
Vardas5169          Pavarde5169         5         1         9         7         1         9         9         9         10        2         5         8         10        6         2         8         
Vardas5170          Pavarde5170         4         5         1         6         3         2         5         5         3         4         1         8         7         2         1         3         
Vardas5171          Pavarde5171         3         6         8         3         1         7         5         4         1         4         8         1         3         1         2         7         
Vardas5172          Pavarde5172         1         5         7         3         4         7         2         3         7         7         3         10        4         1         4         6         
Vardas5173          Pavarde5173         4         9         5         3         7         7         4         5         10        9         5         2         6         7         8         1         
Vardas5174          Pavarde5174         6         5         9         1         6         8         2         6         5         10        9         9         9         6         10        6         
Vardas5175          Pavarde5175         8         7         6         6         5         10        8         8         6         4         6         10        9         7         4         2         
Vardas5176          Pavarde5176         10        1         2         9         4         9         6         1         7         1         4         5         7         6         5         2         
Vardas5177          Pavarde5177         3         6         9         10        8         4         3         1         4         9         5         8         7         8         2         8         
Vardas5178          Pavarde5178         1         1         1         6         4         3         9         4         4         5         5         2         6         3         5         6         
Vardas5179          Pavarde5179         7         2         8         6         3         7         7         4         5         2         2         10        9         9         4         2         
Vardas5180          Pavarde5180         2         3         6         4         8         9         4         2         1         4         10        9         5         10        6         8         
Vardas5181          Pavarde5181         7         7         8         9         1         1         8         7         7         10        2         3         6         3         1         7         
Vardas5182          Pavarde5182         4         9         9         9         4         1         1         9         9         4         6         5         9         7         8         1         
Vardas5183          Pavarde5183         2         8         7         2         6         3         1         1         3         1         2         8         2         3         4         10        
Vardas5184          Pavarde5184         2         6         3         7         2         1         7         10        6         6         8         5         4         5         6         10        
Vardas5185          Pavarde5185         6         9         4         8         10        3         5         8         4         8         1         5         9         7         9         5         
Vardas5186          Pavarde5186         8         10        6         2         10        1         7         7         3         3         3         5         7         5         9         3         
Vardas5187          Pavarde5187         6         4         8         4         9         1         3         8         1         10        10        7         9         9         7         9         
Vardas5188          Pavarde5188         8         4         5         9         1         3         6         1         7         2         8         9         7         6         5         10        
Vardas5189          Pavarde5189         6         8         2         3         6         7         8         8         5         10        10        2         5         2         9         4         
Vardas5190          Pavarde5190         9         3         6         9         10        3         2         9         8         3         1         6         4         6         5         2         
Vardas5191          Pavarde5191         4         8         5         2         7         3         10        6         10        6         4         2         6         3         1         1         
Vardas5192          Pavarde5192         8         3         6         9         2         7         5         7         6         6         2         5         9         9         5         7         
Vardas5193          Pavarde5193         8         5         3         1         2         9         3         5         2         4         4         5         5         6         1         7         
Vardas5194          Pavarde5194         6         2         1         6         9         1         9         10        8         2         5         1         5         3         1         8         
Vardas5195          Pavarde5195         3         3         1         2         2         7         4         2         8         1         9         4         3         10        8         3         
Vardas5196          Pavarde5196         1         7         2         4         1         4         5         3         3         10        9         4         8         8         2         4         
Vardas5197          Pavarde5197         8         3         1         8         6         6         10        9         9         10        5         1         4         7         1         5         
Vardas5198          Pavarde5198         5         3         6         6         10        8         3         1         5         6         10        9         2         1         2         1         
Vardas5199          Pavarde5199         1         6         5         8         3         4         9         1         2         5         3         2         8         1         4         4         
Vardas5200          Pavarde5200         3         10        4         2         4         3         2         8         1         3         6         1         3         5         8         2         
Vardas5201          Pavarde5201         3         2         6         7         4         9         2         7         6         4         4         3         2         8         2         7         
Vardas5202          Pavarde5202         5         7         2         8         8         5         8         2         8         7         4         6         10        1         9         7         
Vardas5203          Pavarde5203         9         4         2         1         7         8         4         3         4         6         1         1         4         5         3         6         
Vardas5204          Pavarde5204         4         2         5         9         10        3         4         7         2         4         7         9         5         6         4         3         
Vardas5205          Pavarde5205         10        3         3         8         1         1         10        7         1         6         4         2         10        8         2         3         
Vardas5206          Pavarde5206         7         5         6         1         5         2         6         5         5         6         7         4         9         6         4         6         
Vardas5207          Pavarde5207         8         10        7         1         1         3         6         2         3         4         4         6         1         5         9         9         
Vardas5208          Pavarde5208         2         8         3         10        9         4         2         3         4         4         9         10        4         1         3         1         
Vardas5209          Pavarde5209         9         3         8         6         7         8         3         6         9         5         9         10        7         8         10        5         
Vardas5210          Pavarde5210         10        10        9         8         2         8         2         6         9         10        9         3         3         3         4         6         
Vardas5211          Pavarde5211         7         5         7         5         9         6         10        6         1         8         10        8         7         3         6         2         
Vardas5212          Pavarde5212         9         7         2         3         8         1         2         10        5         5         9         7         3         6         7         7         
Vardas5213          Pavarde5213         4         3         2         1         4         5         10        10        1         5         10        7         8         5         10        2         
Vardas5214          Pavarde5214         2         2         2         9         1         9         7         10        10        1         8         7         10        4         5         2         
Vardas5215          Pavarde5215         10        1         9         4         8         4         6         4         9         7         6         1         6         5         7         1         
Vardas5216          Pavarde5216         10        1         8         3         5         8         10        2         4         10        8         7         2         7         5         10        
Vardas5217          Pavarde5217         6         9         9         4         9         2         4         1         9         8         6         10        10        3         5         3         
Vardas5218          Pavarde5218         7         8         7         2         9         9         1         10        10        3         3         2         9         3         6         8         
Vardas5219          Pavarde5219         5         5         1         4         3         7         6         5         4         9         9         8         4         8         9         9         
Vardas5220          Pavarde5220         1         3         7         7         2         10        1         1         6         1         6         1         1         1         8         2         
Vardas5221          Pavarde5221         7         10        10        4         4         7         6         2         4         9         8         7         4         8         5         4         
Vardas5222          Pavarde5222         5         5         9         5         7         1         7         8         2         3         10        9         4         2         8         10        
Vardas5223          Pavarde5223         2         1         7         9         10        3         8         5         8         10        6         4         2         1         9         4         
Vardas5224          Pavarde5224         6         3         8         7         4         4         3         4         5         9         5         3         9         1         7         4         
Vardas5225          Pavarde5225         2         6         8         8         8         5         1         5         6         1         3         8         4         4         7         6         
Vardas5226          Pavarde5226         5         10        9         2         6         10        2         1         1         7         4         8         8         1         8         2         
Vardas5227          Pavarde5227         9         3         10        4         9         7         5         7         5         7         2         7         3         5         1         9         
Vardas5228          Pavarde5228         8         1         4         2         2         2         1         5         1         6         4         2         2         10        5         10        
Vardas5229          Pavarde5229         1         3         6         4         8         3         2         2         7         7         10        2         10        3         8         2         
Vardas5230          Pavarde5230         3         10        1         9         8         8         5         10        3         4         8         5         1         9         9         9         
Vardas5231          Pavarde5231         1         2         6         9         10        5         5         6         3         5         7         3         3         6         2         10        
Vardas5232          Pavarde5232         2         5         8         1         2         7         6         6         6         9         2         9         10        9         6         9         
Vardas5233          Pavarde5233         1         5         10        6         7         8         3         7         7         5         5         4         10        3         6         9         
Vardas5234          Pavarde5234         1         4         10        2         4         6         9         8         8         9         8         6         8         1         1         4         
Vardas5235          Pavarde5235         5         10        9         7         8         1         3         8         9         5         10        8         3         5         10        9         
Vardas5236          Pavarde5236         10        7         2         1         10        10        10        1         5         7         8         8         9         3         7         4         
Vardas5237          Pavarde5237         2         10        7         4         6         10        3         6         8         6         5         1         3         7         9         6         
Vardas5238          Pavarde5238         9         2         10        9         6         10        1         7         6         5         6         1         4         2         5         3         
Vardas5239          Pavarde5239         6         9         8         4         8         3         1         9         8         2         9         6         9         8         10        5         
Vardas5240          Pavarde5240         9         9         2         2         3         7         8         5         5         9         4         1         4         10        3         6         
Vardas5241          Pavarde5241         4         4         10        8         3         1         8         3         4         6         3         5         1         4         4         9         
Vardas5242          Pavarde5242         1         7         9         5         9         7         5         4         9         2         2         10        7         2         3         6         
Vardas5243          Pavarde5243         10        9         1         7         10        6         2         10        6         5         8         10        4         9         4         1         
Vardas5244          Pavarde5244         3         4         3         3         10        7         5         1         3         3         8         5         9         8         10        7         
Vardas5245          Pavarde5245         9         1         10        5         4         9         4         4         7         9         9         3         4         7         5         10        
Vardas5246          Pavarde5246         9         6         9         3         5         9         5         8         3         7         2         3         6         6         1         6         
Vardas5247          Pavarde5247         10        6         7         7         6         6         7         6         9         4         1         9         2         6         2         4         
Vardas5248          Pavarde5248         4         8         10        4         1         10        10        2         7         10        7         6         2         10        8         3         
Vardas5249          Pavarde5249         4         3         8         2         5         10        9         1         1         6         8         4         1         9         4         5         
Vardas5250          Pavarde5250         3         10        1         7         6         5         2         4         5         9         1         8         1         3         8         7         
Vardas5251          Pavarde5251         1         1         6         9         9         6         7         6         2         7         5         8         6         10        7         5         
Vardas5252          Pavarde5252         5         8         1         5         3         3         5         7         6         4         8         6         4         6         8         8         
Vardas5253          Pavarde5253         7         10        5         8         6         10        5         8         3         5         2         1         6         4         7         4         
Vardas5254          Pavarde5254         5         8         6         8         3         5         8         10        9         4         7         4         7         7         5         9         
Vardas5255          Pavarde5255         6         9         8         1         9         4         1         8         7         4         9         6         9         10        9         8         
Vardas5256          Pavarde5256         2         2         5         8         7         4         6         6         7         5         5         4         3         3         5         4         
Vardas5257          Pavarde5257         8         6         5         6         6         6         5         1         5         6         3         5         3         2         1         2         
Vardas5258          Pavarde5258         10        4         9         9         10        3         9         10        4         9         5         10        5         1         6         2         
Vardas5259          Pavarde5259         2         7         9         8         6         3         6         9         2         4         1         8         7         5         9         10        
Vardas5260          Pavarde5260         7         3         7         2         7         3         10        5         9         7         8         5         4         4         6         2         
Vardas5261          Pavarde5261         4         6         3         4         5         3         3         10        3         6         10        2         5         1         8         6         
Vardas5262          Pavarde5262         10        10        5         2         1         10        9         3         1         6         4         1         2         5         2         2         
Vardas5263          Pavarde5263         7         2         2         8         2         1         1         4         8         3         8         10        9         8         10        6         
Vardas5264          Pavarde5264         6         10        7         10        8         3         8         2         7         9         4         5         9         7         10        5         
Vardas5265          Pavarde5265         7         7         5         4         7         7         1         1         3         5         7         2         7         5         7         10        
Vardas5266          Pavarde5266         3         1         10        9         4         6         10        7         9         10        8         1         7         4         7         8         
Vardas5267          Pavarde5267         5         10        7         10        7         2         4         7         6         4         1         8         4         10        5         8         
Vardas5268          Pavarde5268         10        4         3         2         7         8         7         3         4         7         7         10        4         2         1         4         
Vardas5269          Pavarde5269         9         1         4         2         5         2         10        9         3         3         4         3         7         7         6         6         
Vardas5270          Pavarde5270         6         2         2         9         3         2         1         8         10        8         10        5         5         7         8         5         
Vardas5271          Pavarde5271         5         5         6         1         4         4         7         4         8         7         2         2         4         3         2         3         
Vardas5272          Pavarde5272         7         9         2         1         8         1         3         5         5         3         6         5         9         3         10        2         
Vardas5273          Pavarde5273         2         2         3         3         4         1         3         1         10        7         1         4         8         9         8         1         
Vardas5274          Pavarde5274         1         9         10        7         2         2         9         2         2         6         8         8         10        9         1         1         
Vardas5275          Pavarde5275         4         10        6         5         1         5         9         4         3         1         1         7         4         6         5         6         
Vardas5276          Pavarde5276         10        5         3         9         1         9         7         5         4         2         10        5         1         10        3         10        
Vardas5277          Pavarde5277         6         4         10        2         6         9         6         3         9         10        10        10        5         4         7         7         
Vardas5278          Pavarde5278         2         5         8         7         7         7         4         6         1         4         2         8         7         6         3         6         
Vardas5279          Pavarde5279         8         3         10        7         2         8         9         2         10        1         9         1         6         5         5         2         
Vardas5280          Pavarde5280         8         6         4         4         6         5         10        4         10        6         4         10        10        2         2         6         
Vardas5281          Pavarde5281         3         10        8         7         6         9         5         2         1         8         2         10        2         1         9         6         
Vardas5282          Pavarde5282         6         3         8         7         4         7         1         6         4         6         6         2         1         6         2         6         
Vardas5283          Pavarde5283         3         7         9         10        2         2         4         9         8         9         7         1         5         3         7         4         
Vardas5284          Pavarde5284         10        3         6         7         3         6         4         4         3         3         4         6         3         8         7         7         
Vardas5285          Pavarde5285         2         4         7         8         2         3         6         6         2         8         1         4         1         6         6         7         
Vardas5286          Pavarde5286         3         9         6         6         5         8         1         6         10        3         3         7         10        7         2         7         
Vardas5287          Pavarde5287         5         1         1         8         5         8         3         2         6         5         1         8         6         4         7         2         
Vardas5288          Pavarde5288         5         9         1         4         9         3         5         7         5         8         10        10        4         8         9         10        
Vardas5289          Pavarde5289         10        5         9         2         8         3         8         2         3         10        4         5         2         5         9         9         
Vardas5290          Pavarde5290         8         4         4         3         10        8         8         8         5         1         4         6         5         8         6         4         
Vardas5291          Pavarde5291         1         10        7         6         7         7         8         9         10        4         5         10        1         9         4         1         
Vardas5292          Pavarde5292         9         5         2         1         4         7         3         3         7         10        1         9         3         8         1         9         
Vardas5293          Pavarde5293         3         8         9         5         1         1         9         5         10        4         6         2         5         1         5         1         
Vardas5294          Pavarde5294         2         10        4         1         4         10        3         9         2         2         2         1         2         8         10        4         
Vardas5295          Pavarde5295         6         9         6         8         5         5         5         6         7         4         3         10        1         5         4         8         
Vardas5296          Pavarde5296         9         6         1         9         7         3         4         2         4         4         10        5         4         6         10        10        
Vardas5297          Pavarde5297         6         7         8         3         6         10        1         3         4         8         5         5         4         9         9         6         
Vardas5298          Pavarde5298         6         9         5         5         9         9         5         9         6         4         7         1         5         10        2         4         
Vardas5299          Pavarde5299         4         1         3         9         3         5         4         9         6         5         2         3         7         6         7         9         
Vardas5300          Pavarde5300         2         10        9         4         2         2         4         7         6         6         5         7         8         4         2         8         
Vardas5301          Pavarde5301         2         3         1         5         2         9         9         6         9         10        7         8         3         8         1         2         
Vardas5302          Pavarde5302         5         6         7         9         10        9         7         10        3         8         3         4         10        1         5         2         
